id,title,vendor,product_type,created_at,updated_at,published_at,tags
6607648096421,The Rakess,Bubbles and Books Shop,Historical Romance Book,2021-03-28T09:57:54-07:00,2024-07-23T21:34:24-07:00,,Historical Romance Books
6610116903077,"Love, Unscripted",Bubbles and Books Shop,Contemporary Romance Book,2021-03-29T08:27:18-07:00,2024-05-13T21:57:33-07:00,,"Contemporary Romance, Love Unscripted, Owen Nicholls"
6610168676517,Leopard's Run,Bubbles and Books Shop,,2021-03-29T08:57:02-07:00,2024-07-23T21:36:24-07:00,2021-10-05T11:13:42-07:00,"Christine Feehan, Leopard's Run, Paranormal Romance Books"
6610520735909,The Taken: Celestial Blues,Bubbles and Books Shop,Paranormal Romance Book,2021-03-29T12:09:52-07:00,2024-07-23T21:36:24-07:00,2021-09-05T10:13:27-07:00,"The Taken, Vicki Pettersson"
6610524897445,Kiss of Pride: A Deadly Angels Book,Bubbles and Books Shop,Paranormal Romance Books,2021-03-29T12:12:09-07:00,2024-05-13T21:55:18-07:00,,"Kiss of Pride, Sandra Hill"
6610594726053,Order of Protection,Bubbles and Books Shop,Contemporary Romance Book,2021-03-29T12:28:32-07:00,2024-07-23T21:34:24-07:00,,"Lexi Blake, Order of Protection"
6610674188453,The Honey Don't List,Bubbles and Books Shop,Contemporary Romance Book,2021-03-29T12:47:33-07:00,2024-07-23T21:36:24-07:00,2021-09-05T10:13:30-07:00,"Christina Lauren, The Honey Dont List"
6627938238629,Bubbles and Books Custom Mug,Bubbles and Books,Mug,2021-04-05T10:12:33-07:00,2024-07-23T21:36:25-07:00,2024-05-06T22:42:37-07:00,other
7016233533605,Contemporary Romance: Premium Box,Bubbles and Books ,,2021-08-31T13:44:59-07:00,2024-07-23T21:36:25-07:00,2021-08-31T13:58:48-07:00,"Contemporary Romance, Premium, subscription"
7025940856997,Paranormal Romance: Standard Box,Bubbles and Books,,2021-09-05T09:06:12-07:00,2024-07-29T21:10:09-07:00,2021-09-05T09:20:08-07:00,"Paranormal Romance, subscription"
7025954291877,Historical Romance: Standard Box,Bubbles and Books,,2021-09-05T09:23:52-07:00,2024-07-29T21:10:10-07:00,2021-09-05T09:28:51-07:00,"Historical Romance, subscription"
7025968480421,Mystery & Thrillers: Standard Box,Bubbles and Books,,2021-09-05T09:59:38-07:00,2024-07-29T21:10:10-07:00,2021-09-05T10:01:55-07:00,"Mysteries and Thrillers, subscription"
7027758694565,Contemporary Romance: Standard Box,Bubbles and Books,,2021-09-06T09:55:18-07:00,2024-07-23T21:36:25-07:00,2021-09-06T09:57:24-07:00,"Contemporary Romance, subscription"
7043922165925,3 Months - Standard Subscriptions,Bubbles and Books,Prepaid Subscriptions,2021-09-13T13:04:46-07:00,2024-07-27T13:05:10-07:00,2023-03-06T15:15:07-08:00,Prepaid standard subscriptions
7043989831845,6 Months - Standard Subscriptions,Bubbles and Books,Prepaid Subscriptions,2021-09-13T13:46:34-07:00,2024-08-09T09:35:12-07:00,2023-02-06T05:42:51-08:00,Prepaid standard subscriptions
7043996975269,12 Months - Standard Subscriptions,Bubbles and Books,,2021-09-13T13:50:28-07:00,2024-07-23T21:36:26-07:00,2023-03-06T15:14:33-08:00,Prepaid standard subscriptions
7046779797669,Historical Romance: Premium Box,Bubbles and Books,,2021-09-15T01:44:20-07:00,2024-07-23T21:36:26-07:00,2021-09-15T01:44:20-07:00,"Historical Romance, Premium, subscription"
7046786318501,Mystery & Thrillers: Premium Box,Bubbles and Books,,2021-09-15T01:57:06-07:00,2024-07-23T21:36:26-07:00,2021-09-15T01:57:06-07:00,"Mysteries and Thrillers, Premium, subscription"
7061908160677,6 Months - Premium,Bubbles and Books,,2021-09-23T08:25:10-07:00,2024-08-03T10:46:26-07:00,2023-03-06T15:14:02-08:00,Prepaid premium subscriptions
7062035857573,12 Months - Premium,Bubbles and Books,,2021-09-23T09:53:29-07:00,2024-08-08T09:35:09-07:00,2023-03-06T15:14:18-08:00,prepaid premium subscriptions
7062039920805,3 Months - Premium,Bubbles and Books,Prepaid Subscriptions,2021-09-23T09:58:57-07:00,2024-07-31T21:57:44-07:00,2023-03-06T15:14:44-08:00,Prepaid premium subscriptions
7078955843749,Paranormal Romance: Premium Box,Bubbles and Books,,2021-09-30T12:01:18-07:00,2024-07-23T21:36:27-07:00,2021-09-30T12:21:07-07:00,"Paranormal Romance, subscription"
7088888479909,12 Days of Self Care Countdown Box,Bubbles and Books ,,2021-10-05T12:17:34-07:00,2024-07-23T21:36:27-07:00,2021-10-05T12:17:36-07:00,
7129627066533,Trick or Read,Bubbles and Books ,,2021-10-23T07:25:56-07:00,2024-07-23T21:36:27-07:00,2023-10-31T06:58:52-07:00,complete boxes
7129833963685,E-Gift Card for Bubbles and Books,Bubbles and Books ,Gift Cards,2021-10-23T08:32:30-07:00,2024-07-23T21:34:27-07:00,,gift cards
7144569077925,Surprise Genre: Standard Box,Bubbles and Books,,2021-10-28T04:07:46-07:00,2024-07-23T21:36:28-07:00,2024-04-10T21:06:35-07:00,"subscription, surprise genre"
7144590049445,Surprise Genre: Premium Box,Bubbles and Books,,2021-10-28T04:15:03-07:00,2024-07-23T21:36:28-07:00,2024-04-10T21:06:42-07:00,"Premium, subscription, surprise genre"
7156831617189,Mojito Bath Bomb Dust,Bubbles and Books,,2021-11-01T13:47:54-07:00,2024-07-23T21:34:27-07:00,,"bath bombs, Bath Products, Bombs and Bubbles"
7200247775397,Sandcastle Beach,Bubbles and Books ,,2021-11-15T10:26:22-08:00,2024-07-23T21:36:28-07:00,2021-11-15T10:26:26-08:00,contemporary romance books
7200258326693,Sunrise Cabin,Bubbles and Books ,,2021-11-15T10:29:08-08:00,2024-07-23T21:34:27-07:00,,contemporary romance books
7200277987493,The Vineyard,Bubbles and Books,,2021-11-15T10:34:23-08:00,2024-07-23T21:36:28-07:00,2021-11-15T10:35:28-08:00,contemporary romance books
7200285360293,Mr. Nice Guy,Bubbles and Books,,2021-11-15T10:36:41-08:00,2024-07-23T21:34:28-07:00,,contemporary romance books
7200296992933,How to Catch a Duke,Bubbles and Books Shop,Historical Romance Book,2021-11-15T10:39:30-08:00,2024-07-23T21:34:28-07:00,,Historical Romance Books
7200329367717,Marry Me at Sundown,Bubbles and Books Shop,Historical Romance Book,2021-11-15T10:47:36-08:00,2024-07-23T21:36:29-07:00,2021-11-15T10:48:50-08:00,Historical Romance Books
7200342638757,Rest in Pieces,Bubbles and Books Shop,,2021-11-15T10:50:40-08:00,2024-07-23T21:36:29-07:00,2021-11-15T10:51:27-08:00,Paranormal Romance Books
7200347848869,Amaryllis,Bubbles and Books Shop,,2021-11-15T10:51:54-08:00,2024-07-23T21:34:28-07:00,,Paranormal Romance Books
7200366624933,Smoke Bitten,Bubbles and Books Shop,,2021-11-15T10:57:15-08:00,2024-07-23T21:34:28-07:00,,Paranormal Romance Books
7215255716005,Mermaid Lagoon Moisture Melt,Bubbles and Books ,,2021-11-19T13:06:41-08:00,2024-07-23T21:34:28-07:00,,"Bombs and Bubbles, Moisture Melt"
7217000415397,How the Dukes Stole Christmas,Bubbles and Books ,,2021-11-20T05:31:16-08:00,2024-07-23T21:36:29-07:00,2021-11-20T05:31:17-08:00,Historical Romance Books
7217004806309,Christmas on Mistletoe Lane,Bubbles and Books Shop,Contemporary Romance Book,2021-11-20T05:33:54-08:00,2024-07-23T21:36:30-07:00,2021-11-20T05:34:50-08:00,
7217016340645,Bath Pillow,Bubbles and Books ,,2021-11-20T05:41:27-08:00,2024-07-23T21:36:30-07:00,2021-11-20T05:41:28-08:00,"gift, gifts"
7432980267173,Super Surprise Soaker Box - Complete Box,Bubbles and Books,,2022-01-24T08:25:50-08:00,2024-07-23T21:34:29-07:00,,complete boxes
7545356320933,Find You First,Bubbles and Books Shop,,2022-03-01T13:10:34-08:00,2024-07-23T21:34:29-07:00,,"Mystery and Thrillers Books, mystery thriller books"
7545385222309,The Returned: An American Faerie Tale,Bubbles and Books ,,2022-03-01T13:25:08-08:00,2024-07-23T21:34:29-07:00,,Paranormal Romance Books
7567307964581,Diamonds are a Girl's Best Friend Bath Bomb,Bubbles and Books ,,2022-03-11T06:28:40-08:00,2024-07-23T21:36:30-07:00,2022-03-11T06:28:41-08:00,"bath bombs, Bath Products, Bombs and Bubbles"
7589112119461,Time Capsule- themed Box,Bubbles and Books,,2022-03-21T08:38:53-07:00,2024-07-23T21:36:31-07:00,2022-03-21T08:47:10-07:00,complete boxes
7842830975141,The Glittering Hour,Bubbles and Books,,2022-07-10T09:34:34-07:00,2024-07-23T21:36:31-07:00,2022-07-10T09:38:40-07:00,Historical Romance Books
7842838479013,Night Shift,Bubbles and Books Shop,,2022-07-10T09:40:02-07:00,2024-07-23T21:34:30-07:00,,Paranormal Romance Books
7842866069669,Just Watch Me (A Riley Wolfe Novel Book 1),Bubbles and Books Shop,,2022-07-10T09:54:43-07:00,2024-07-23T21:36:31-07:00,2022-07-10T09:56:13-07:00,"Mystery and Thrillers Books, mystery thriller books"
7842888384677,Meet Me in Barefoot Bay (2-in-1 Edition with Barefoot in the Sand and Barefoot in the Rain,Bubbles and Books Shop,Contemporary Romance Book,2022-07-10T10:08:36-07:00,2024-07-23T21:36:31-07:00,2023-11-24T11:30:17-08:00,"Amandas Wedding, Jenny Colgan"
7842956476581,Watermelon Lemonade Bubble Bath Bar,Bubbles and Books Shop,,2022-07-10T10:45:57-07:00,2024-07-23T21:36:32-07:00,2023-09-09T13:20:47-07:00,"bath bombs, Bath Products, Bombs and Bubbles, Nana Js Handmades"
7843322921125,The Boy Toy (Late Expectations Book 1),Bubbles and Books Shop,Contemporary Romance Book,2022-07-10T14:19:16-07:00,2024-07-23T21:36:32-07:00,2022-07-10T14:21:20-07:00,"Amandas Wedding, Jenny Colgan"
7843349495973,Dance Upon the Air (Three Sisters Island Book 1),Bubbles and Books Shop,Paranormal Romance Book,2022-07-10T14:31:39-07:00,2024-07-23T21:34:31-07:00,,"Dragon Awakened, Jaime Rush, Paranormal Romance Books"
7843365060773,Little Disasters,Bubbles and Books,,2022-07-10T14:38:06-07:00,2024-07-23T21:34:31-07:00,,mystery thriller books
7843373908133,If I Die Tonight,Bubbles and Books,,2022-07-10T14:42:24-07:00,2024-07-23T21:36:32-07:00,2022-07-10T14:43:38-07:00,mystery thriller books
7843381313701,The Devil and the Heiress,Bubbles and Books Shop,Historical Romance Book,2022-07-10T14:46:19-07:00,2024-07-23T21:36:33-07:00,2022-07-10T14:47:29-07:00,Historical Romance Books
7843382395045,The Postscript,Bubbles and Books Shop,Historical Romance Book,2022-07-10T14:47:58-07:00,2024-07-23T21:36:33-07:00,2022-07-10T14:49:19-07:00,contemporary romance books
7843389997221,Kiss of Night (Kiss Trilogy Book 1),Bubbles and Books Shop,Paranormal Romance Book,2022-07-10T14:52:31-07:00,2024-05-13T21:55:18-07:00,,"Hot and Badgered, Paranormal Romance, Shelly Laurenston"
7843395928229,The River Home,Bubbles and Books,,2022-07-10T14:55:24-07:00,2024-07-23T21:36:33-07:00,2022-07-10T14:57:03-07:00,contemporary romance books
7892404371621,Sweets & Treats Complete Box,Bubbles and Books ,,2022-07-31T07:23:36-07:00,2024-07-23T21:34:32-07:00,,
7911672905893,Orange Votive Candle and Holder,Bubbles and Books ,,2022-08-08T16:32:22-07:00,2024-07-23T21:36:34-07:00,2022-08-08T16:32:23-07:00,
7911703445669,The Duke Undone,Bubbles and Books Shop,Historical Romance Book,2022-08-08T16:49:35-07:00,2024-07-23T21:36:34-07:00,2022-08-08T16:52:18-07:00,Historical Romance Books
7911706362021,The Arrangement,Bubbles and Books Shop,Historical Romance Book,2022-08-08T16:52:38-07:00,2024-07-23T21:36:34-07:00,2023-12-03T05:11:26-08:00,Historical Romance Books
7911716356261,Sage's Eyes,Bubbles and Books,,2022-08-08T16:59:45-07:00,2024-07-23T21:34:32-07:00,,Paranormal Romance Books
7996853551269,Cliff's Edge Abyss Soap,Bubbles and Books,,2022-09-12T07:03:02-07:00,2024-07-23T21:34:32-07:00,,"Bath Products, soap"
7996911943845,Dark Witch,Bubbles and Books Shop,,2022-09-12T07:35:47-07:00,2024-07-23T21:36:35-07:00,2022-09-12T07:37:54-07:00,Paranormal Romance Books
7996929966245,Hello Summer (Hardcover),Bubbles and Books Shop,Contemporary Romance Book,2022-09-12T07:48:54-07:00,2024-07-23T21:36:35-07:00,2022-09-12T07:50:23-07:00,
8040118747301,Cousins O'Dwyer Trilogy - Nora Roberts,Bubbles and Books ,,2022-09-30T11:02:07-07:00,2024-07-23T21:36:35-07:00,2022-09-30T11:02:08-07:00,Paranormal Romance Books
8052778205349,Pickle Bath Bombs,Bubbles and Books,,2022-10-06T07:53:00-07:00,2024-07-23T21:36:35-07:00,2022-10-06T07:55:11-07:00,"bath bombs, Bath Products, Bombs and Bubbles"
8052880769189,The Runaway Duchess,Bubbles and Books,,2022-10-06T08:33:18-07:00,2024-07-23T21:36:36-07:00,2022-10-06T08:35:02-07:00,Historical Romance Books
8052882833573,The Texan Duke,Bubbles and Books,,2022-10-06T08:35:38-07:00,2024-07-23T21:34:33-07:00,,Historical Romance Books
8089308594341,Spooky Suds Soap,Bubbles and Books,,2022-10-23T09:00:05-07:00,2024-07-23T21:34:34-07:00,,soap
8092755919013,Mini Moisture Melt,Bubbles and Books,,2022-10-25T06:27:35-07:00,2024-07-23T21:36:36-07:00,2023-09-10T05:30:07-07:00,"bath bombs, Bombs and Bubbles, Moisture Melt"
8092758737061,Microfiber Twist Hair Turban,Bubbles and Books ,,2022-10-25T06:39:24-07:00,2024-07-23T21:36:36-07:00,2022-10-25T06:39:25-07:00,other
8092759687333,Exfoliating Body Cleansing Pads,Bubbles and Books ,,2022-10-25T06:42:16-07:00,2024-07-23T21:36:36-07:00,2022-10-25T06:42:17-07:00,other
8155134263461,Plastic Logo Travel Mug with Lid,Bubbles and Books ,,2023-02-20T08:22:43-08:00,2024-07-23T21:36:37-07:00,2024-05-06T23:07:59-07:00,other
8155135180965,Dangerously Charming,Bubbles and Books ,,2023-02-20T08:26:26-08:00,2024-07-23T21:36:37-07:00,2023-02-20T08:26:25-08:00,Paranormal Romance Books
8155135738021,Dance Away With Me,Bubbles and Books ,,2023-02-20T08:28:35-08:00,2024-07-23T21:36:37-07:00,2023-02-20T08:28:35-08:00,contemporary romance books
8155135869093,The Scot Who Loved Me,Bubbles and Books ,,2023-02-20T08:30:01-08:00,2024-07-23T21:36:38-07:00,2023-02-20T08:30:01-08:00,Historical Romance Books
8155136098469,The Duke Effect,Bubbles and Books ,,2023-02-20T08:31:18-08:00,2024-07-23T21:34:35-07:00,,"Historical Romance, Historical Romance Books"
8155138588837,The Girl in the Rearview Mirror,Bubbles and Books ,,2023-02-20T08:32:51-08:00,2024-07-23T21:34:35-07:00,,"Mystery and Thrillers Books, mystery thriller books"
8155139834021,One Lucky Day,Bubbles and Books ,,2023-02-20T08:42:09-08:00,2024-07-23T21:36:38-07:00,2023-02-20T08:42:09-08:00,contemporary romance books
8155392311461,Navidium Shipping Protection,Bubbles and Books ,,2023-02-21T05:33:01-08:00,2024-05-07T18:38:19-07:00,,nvd-hidden
8156959277221,The Broken Girls,Bubbles and Books ,,2023-02-25T06:09:52-08:00,2024-07-23T21:36:38-07:00,2023-02-25T06:09:52-08:00,"Mystery and Thrillers Books, mystery thriller books"
8156959342757,The Villa,Bubbles and Books ,,2023-02-25T06:11:28-08:00,2024-07-23T21:36:38-07:00,2023-02-25T06:11:27-08:00,contemporary romance books
8156960129189,Melmoth,Bubbles and Books ,,2023-02-25T06:12:57-08:00,2024-07-23T21:36:39-07:00,2023-02-25T06:12:57-08:00,Paranormal Romance Books
8171226202277,Blood of Zeus,Bubbles and Books Shop,,2023-04-01T06:06:33-07:00,2024-07-23T21:36:39-07:00,2023-04-01T06:09:06-07:00,Paranormal Romance Books
8171226693797,Low Country Summer,Bubbles and Books,,2023-04-01T06:12:13-07:00,2024-07-23T21:36:39-07:00,2023-04-01T06:14:52-07:00,contemporary romance books
8199148929189,Flowers & Chocolate Themed Box (Premium),Bubbles and Books,,2023-06-03T05:13:11-07:00,2024-07-23T21:36:39-07:00,2023-06-03T05:23:27-07:00,complete boxes
8199149813925,Love at the Shore,Bubbles and Books,,2023-06-03T05:27:09-07:00,2024-07-23T21:36:40-07:00,2023-06-03T05:28:46-07:00,contemporary romance books
8199149879461,The Summer House,Bubbles and Books,,2023-06-03T05:30:26-07:00,2024-07-23T21:36:40-07:00,2023-06-03T05:31:30-07:00,contemporary romance books
8199150043301,Goodnight Beautiful,Bubbles and Books,,2023-06-03T05:37:26-07:00,2024-07-23T21:34:37-07:00,,mystery thriller books
8199150076069,The 9th Girl,Bubbles and Books,,2023-06-03T05:39:58-07:00,2024-07-23T21:34:37-07:00,,mystery thriller books
8199150239909,Under Your Skin,Bubbles and Books,,2023-06-03T05:46:09-07:00,2024-07-23T21:36:40-07:00,2023-06-03T05:47:31-07:00,mystery thriller books
